Frame,X,Y,Time
4586,806,212,00:02:33.01953333333333
4612,806,212,00:02:33.88706666666667
4622,510,212,00:02:34.22073333333333
4634,508,212,00:02:34.62113333333332
4645,806,212,00:02:34.98816666666664
4655,508,212,00:02:35.32183333333333
4677,806,212,00:02:36.05590000000001
4691,508,212,00:02:36.52303333333333
4702,806,212,00:02:36.890066666666684
4713,806,212,00:02:37.25710000000001
4723,806,212,00:02:37.59076666666667
4733,610,146,00:02:37.924433333333354
4745,636,242,00:02:38.324833333333345
4757,806,212,00:02:38.725233333333335
4767,476,276,00:02:39.058899999999994
4777,494,296,00:02:39.39256666666668
4787,524,288,00:02:39.72623333333334
4797,806,212,00:02:40.0599
4807,666,300,00:02:40.393566666666686
4823,510,212,00:02:40.92743333333334
4834,812,308,00:02:41.294466666666665
4846,818,308,00:02:41.694866666666655
4856,700,266,00:02:42.028533333333314
4866,606,278,00:02:42.3622
4876,594,240,00:02:42.69586666666666
4889,510,212,00:02:43.129633333333345
4913,782,180,00:02:43.930433333333355
4924,592,280,00:02:44.29746666666668
4944,508,212,00:02:44.964800000000025
4972,536,196,00:02:45.89906666666667
4985,510,212,00:02:46.332833333333355
4995,782,312,00:02:46.66650000000001
5008,842,350,00:02:47.10026666666667
5019,858,316,00:02:47.46730000000002
5052,788,218,00:02:48.5684
5069,508,212,00:02:49.135633333333345
5086,510,212,00:02:49.702866666666665
5106,510,212,00:02:50.37020000000001
5116,510,212,00:02:50.70386666666667
5126,510,212,00:02:51.03753333333333
5137,688,172,00:02:51.40456666666668
5159,764,134,00:02:52.13863333333333
5169,510,212,00:02:52.47230000000002
5179,510,212,00:02:52.80596666666668
5192,456,236,00:02:53.239733333333334
5207,508,212,00:02:53.74023333333335
5221,510,212,00:02:54.20736666666667
5258,510,212,00:02:55.44193333333334
5273,508,212,00:02:55.942433333333355
5309,510,212,00:02:57.14363333333333
5321,706,298,00:02:57.54403333333332
5331,508,212,00:02:57.877700000000004
5342,510,212,00:02:58.24473333333333
5352,598,154,00:02:58.57839999999999
5363,508,212,00:02:58.94543333333334
5374,522,256,00:02:59.312466666666666
5384,650,282,00:02:59.646133333333324
5396,570,300,00:03:00.046533333333314886
5407,510,212,00:03:00.41356666666666797
5418,510,212,00:03:00.7805999999999926
5437,510,212,00:03:01.4145666666666727
5447,510,212,00:03:01.7482333333333315
5467,510,212,00:03:02.4155666666666775
5477,510,212,00:03:02.7492333333333363
5487,898,214,00:03:03.082899999999995
5508,510,212,00:03:03.783600000000007
5525,616,298,00:03:04.350833333333355
5548,542,278,00:03:05.1182666666666705
5559,510,212,00:03:05.485300000000024
5569,510,212,00:03:05.818966666666682
5580,512,182,00:03:06.186000000000007
5591,510,212,00:03:06.553033333333332
5602,510,212,00:03:06.920066666666685
5615,510,212,00:03:07.353833333333341
5638,510,212,00:03:08.121266666666656
5651,510,212,00:03:08.555033333333313
5662,510,212,00:03:08.922066666666694
5672,606,134,00:03:09.255733333333325
5682,540,196,00:03:09.589399999999983
5751,510,212,00:03:11.891700000000014
5770,510,212,00:03:12.525666666666666
5782,510,212,00:03:12.926066666666685
5792,642,298,00:03:13.259733333333344
5803,510,212,00:03:13.626766666666668
