Set,Rally,Frame,X,Y,Time,Getpoint_player,Lose_reason
2,7,5231,800,254,00:02:54.54103333333333,,
2,7,5242,798,254,00:02:54.908066666666684,,
2,7,5257,890,176,00:02:55.40856666666667,,
2,7,5310,798,256,00:02:57.17699999999999,,
2,7,5321,706,296,00:02:57.54403333333332,,
2,7,5331,760,332,00:02:57.877700000000004,,
2,7,5350,798,256,00:02:58.511666666666656,,
2,7,5362,570,182,00:02:58.912066666666675,,
2,7,5381,512,302,00:02:59.54603333333333,,
2,7,5397,572,300,00:03:00.07989999999998076,,
2,7,5409,638,302,00:03:00.48030000000002815,,
2,7,5419,720,314,00:03:00.8139666666666869,,
2,7,5439,820,306,00:03:01.4813000000000045,,
2,7,5449,844,316,00:03:01.8149666666666633,,
2,7,5459,868,290,00:03:02.148633333333322,,
2,7,5471,792,308,00:03:02.5490333333333126,,
2,7,5494,900,300,00:03:03.3164666666666847,B,0
2,8,5528,586,316,00:03:04.450933333333353,,
2,8,5548,542,278,00:03:05.1182666666666705,,
2,8,5589,644,146,00:03:06.486300000000028,,
2,8,5603,554,216,00:03:06.953433333333351,,
2,8,5662,708,132,00:03:08.922066666666694,,
2,8,5672,608,134,00:03:09.255733333333325,,
2,8,5686,526,234,00:03:09.722866666666675,B,0
2,9,5707,798,256,00:03:10.423566666666687,,
2,9,5724,558,302,00:03:10.990800000000007,,
2,9,5752,584,308,00:03:11.92506666666668,,
2,9,5766,882,172,00:03:12.392200000000003,,
2,9,5778,886,164,00:03:12.792599999999993,,
2,9,5792,888,168,00:03:13.259733333333344,,
2,9,5804,618,306,00:03:13.660133333333334,,
2,9,5826,634,308,00:03:14.394200000000012,,
2,9,5870,510,152,00:03:15.86233333333334,,
2,9,5880,482,294,00:03:16.195999999999998,B,0
2,10,5922,542,140,00:03:17.597399999999993,,
2,10,5960,468,300,00:03:18.865333333333353,,
2,10,5970,478,302,00:03:19.199000000000012,,
2,10,5981,478,304,00:03:19.566033333333337,,
2,10,5995,454,298,00:03:20.03316666666666,,
2,10,6045,776,144,00:03:21.70150000000001,,
2,10,6068,534,138,00:03:22.468933333333354,,
2,10,6079,480,292,00:03:22.83596666666668,B,0
2,11,6148,840,296,00:03:25.138266666666652,,
2,11,6166,842,248,00:03:25.738866666666667,,
2,11,6178,870,312,00:03:26.139266666666657,,
2,11,6244,884,174,00:03:28.341466666666662,B,0
2,12,6263,884,166,00:03:28.975433333333342,,
2,12,6292,884,168,00:03:29.94306666666668,,
2,12,6311,884,166,00:03:30.577033333333333,,
2,12,6368,928,566,00:03:32.478933333333345,B,0
2,13,6459,898,182,00:03:35.515300000000025,,
2,13,6508,798,254,00:03:37.15026666666665,B,0
2,14,6586,798,256,00:03:39.75286666666668,,
2,14,6691,562,262,00:03:43.25636666666668,,
2,14,6706,778,184,00:03:43.75686666666667,,
2,14,6719,798,256,00:03:44.190633333333324,,
2,14,6753,606,298,00:03:45.32509999999999,B,0
2,15,6779,718,278,00:03:46.19263333333333,,
2,15,6815,560,168,00:03:47.39383333333333,,
2,15,6835,524,166,00:03:48.06116666666665,,
2,15,6863,588,166,00:03:48.99543333333335,,
2,15,6874,562,364,00:03:49.36246666666668,,
2,15,6887,664,284,00:03:49.79623333333333,,
2,15,6905,786,322,00:03:50.39683333333335,,
2,15,6917,828,296,00:03:50.79723333333334,,
2,15,6929,852,314,00:03:51.19763333333333,B,0
2,16,6946,704,240,00:03:51.76486666666668,,
2,16,6958,602,186,00:03:52.16526666666667,,
2,16,6968,568,218,00:03:52.498933333333355,,
2,16,6978,512,296,00:03:52.83260000000001,,
2,16,7004,528,456,00:03:53.700133333333326,,
2,16,7014,800,256,00:03:54.033800000000014,,
2,16,7045,886,166,00:03:55.068166666666656,,
2,16,7058,670,420,00:03:55.50193333333334,,
2,16,7086,888,164,00:03:56.436200000000014,,
2,16,7096,886,170,00:03:56.76986666666667,B,0
2,17,7131,696,298,00:03:57.93770000000001,,
2,17,7173,588,258,00:03:59.3391,,
2,17,7194,488,280,00:04:00.039800000000013824,,
2,17,7239,482,298,00:04:01.5413000000000068,,
2,17,7261,522,402,00:04:02.275366666666656,B,0
2,18,7277,488,286,00:04:02.8092333333333386,,
2,18,7306,506,150,00:04:03.7768666666666775,,
2,18,7316,514,292,00:04:04.110533333333336,,
2,18,7397,904,316,00:04:06.813233333333329,B,0
2,19,7470,690,310,00:04:09.248999999999995,,
2,19,7482,874,178,00:04:09.649399999999986,,
2,19,7496,874,176,00:04:10.116533333333336,,
2,19,7519,632,238,00:04:10.88396666666668,,
2,19,7529,572,324,00:04:11.217633333333339,,
2,19,7540,798,252,00:04:11.584666666666664,,
2,19,7551,582,310,00:04:11.951700000000017,,
2,19,7564,798,252,00:04:12.385466666666673,,
2,19,7575,734,170,00:04:12.752499999999998,,
2,19,7595,852,234,00:04:13.419833333333344,,
2,19,7605,798,256,00:04:13.753500000000003,B,0
2,20,7623,832,282,00:04:14.354100000000017,,
2,20,7633,856,230,00:04:14.687766666666676,,
2,20,7652,904,336,00:04:15.321733333333327,,
2,20,7676,846,302,00:04:16.12253333333331,,
2,20,7697,788,310,00:04:16.82323333333335,,
2,20,7709,800,254,00:04:17.22363333333334,,
2,20,7719,722,450,00:04:17.557299999999998,,
