rally,ball_round,time,frame_num,player,server,type,aroundhead,backhand,hit_area,hit_x,hit_y,hit_height,lose_reason,win_reason,roundscore_A,roundscore_B,getpoint_player,landing_area,landing_x,landing_y,landing_height,flying_time,now_right_x,now_right_y,now_left_x,now_left_y,next_right_x,next_right_y,next_left_x,next_left_y,right_delta_x,right_delta_y,left_delta_x,left_delta_y,right_x_speed,right_y_speed,right_speed,left_x_speed,left_y_speed,left_speed,avg_ball_speed,left_right_distance,hitting_area_number_1,hitting_area_number_2,hitting_area_number_3,hitting_area_number_4,landing_area_number_1,landing_area_number_2,landing_area_number_3,landing_area_number_4
4,2,00:26:21.400000,47442,A,,放小球,,,A1,176,508,2,,,2,1,,B1,97.0,373.0,1.0,1000.0,230,883,325,191,254.0,927.0,228.0,985.0,60.0,10.0,80.0,70.0,4.0,29.749999999999996,30.017703109998273,10.5,63.24999999999999,64.11561822208377,0.37290749523172634,698.4905153257272,1,0,0,0,0,0,0,1
4,3,00:26:22.100000,47463,B,,放小球,,,B1,97,373,1,,,2,1,,A1,141.0,492.0,2.0,0.0,254,927,228,985,246.0,764.0,283.0,-62.0,40.0,80.0,20.0,90.0,8.5,4.5,9.617692030835672,7.000000000000001,7.75,10.443299287102711,0.007158910531638176,63.56099432828282,0,0,0,1,1,0,0,0
4,4,00:26:22.900000,47487,A,,挑球,,1.0,A1,141,492,2,,,2,1,,B3,73.0,54.0,1.0,2000.0,246,764,283,-62,288.0,945.0,200.0,954.0,70.0,40.0,10.0,40.0,13.25,63.5,64.86765372664561,9.75,36.0,37.296950277469065,0.2042473990042468,826.8282772135941,1,0,0,0,0,0,0,1
4,5,00:26:24.400000,47532,B,,切球,,,B3,73,54,1,,,2,1,,C1,80.0,573.0,2.0,0.0,288,945,200,954,193.0,1018.0,244.0,82.0,60.0,30.0,30.0,10.0,3.5000000000000004,18.25,18.58258593414813,1.7500000000000002,0.25,1.7677669529663687,0.07692203845452875,88.45903006477066,0,0,0,1,1,0,0,0
4,6,00:26:24.900000,47547,A,,放小球,,1.0,C1,80,573,2,,,2,1,,A1,289.0,429.0,2.0,1000.0,193,1018,244,82,274.0,1018.0,193.0,955.0,10.0,90.0,70.0,60.0,30.25,62.74999999999999,69.66078523818118,24.25,41.5,48.06571023089121,0.11699252112848924,937.3883933567772,1,0,0,0,0,0,0,1
4,7,00:26:25.600000,47568,B,,放小球,,1.0,A1,289,429,2,,,2,1,,A1,234.0,484.0,2.0,1000.0,274,1018,193,955,314.0,767.0,341.0,248.0,40.0,20.0,50.0,90.0,53.5,217.0,223.49776285233818,51.24999999999999,205.25000000000003,211.55170762723708,0.870097982988123,102.61578825892242,0,0,0,1,1,0,0,0
4,8,00:26:26.500000,47595,A,,挑球,,1.0,A1,234,484,2,,,2,1,,A3,302.0,46.0,1.0,1000.0,314,767,341,248,488.0,150.0,398.0,134.0,0.0,30.0,40.0,80.0,20.0,73.25,75.93130118732327,46.0,75.5,88.40955830678038,0.1320766822720801,519.7018375953659,1,0,0,0,0,1,0,0
4,9,00:26:27.700000,47631,B,,殺球,1.0,,A3,302,46,1,,,2,1,,B2,362.0,748.0,2.0,1000.0,488,150,398,134,394.0,1060.0,525.0,-54.0,30.0,80.0,30.0,40.0,16.75,229.5,230.11043544350613,5.75,233.5,233.57078691480234,0.9262613022252414,91.41115905621152,0,1,0,0,1,0,0,0
4,10,00:26:28.100000,47643,A,,擋小球,,,B2,362,748,2,,,2,1,,C1,315.0,410.0,2.0,1000.0,394,1060,525,-54,421.0,1068.0,421.0,1068.0,60.0,30.0,80.0,90.0,6.5,40.75,41.26514873352573,33.0,62.25000000000001,70.45610335520976,0.21270872102478544,1121.6759781683836,1,0,0,0,0,0,0,1
4,11,00:26:29.200000,47676,B,,挑球,,1.0,C1,315,410,2,,,2,1,,B3,328.0,872.0,1.0,1000.0,421,1068,421,1068,420.0,1223.0,393.0,195.0,70.0,80.0,70.0,80.0,10.75,12.0,16.110943485718025,10.75,12.0,16.110943485718025,0.0644437739428721,0.0,0,0,0,1,0,1,0,0
4,12,00:26:30.500000,47715,A,,切球,,,B3,328,872,1,,,2,1,,A2,314.0,251.0,2.0,1000.0,420,1223,393,195,378.0,1116.0,378.0,1116.0,30.0,30.0,90.0,50.0,61.75000000000001,81.75,102.45059785086666,17.75,8.75,19.7895174271633,0.2158633827215723,1028.3545108570293,0,1,0,0,0,0,0,1
4,13,00:26:31.100000,47733,B,,放小球,,1.0,A2,314,251,2,,,2,1,,C1,76.0,582.0,2.0,1000.0,378,1116,378,1116,173.0,896.0,322.0,230.0,70.0,50.0,60.0,90.0,23.25,33.75,40.983228276942754,43.5,22.75,49.089841107911525,0.17490354484686696,0.0,0,0,0,1,1,0,0,0
4,14,00:26:32,47760,A,,挑球,,1.0,C1,76,582,2,,,2,1,,B3,70.0,45.0,2.0,1000.0,173,896,322,230,285.0,981.0,204.0,1025.0,70.0,30.0,30.0,80.0,0.75,15.75,15.76784703122148,14.249999999999998,25.5,29.21151314122567,0.03578058132562969,682.463918460163,1,0,0,0,0,0,0,1
4,15,00:26:33.200000,47796,B,,過渡切球,,,B3,70,45,2,,,2,1,,C1,71.0,515.0,2.0,1000.0,285,981,204,1025,170.0,959.0,265.0,128.0,0.0,10.0,80.0,40.0,7.5,5.25,9.154916711800277,10.5,1.0,10.547511554864494,0.07621679604916491,92.17917335276988,0,0,0,1,1,0,0,0
4,16,00:26:34,47820,A,,挑球,,1.0,C1,71,515,2,,,2,1,,B3,79.0,70.0,1.0,0.0,170,959,265,128,255.0,1002.0,162.0,1029.0,20.0,80.0,0.0,60.0,35.5,29.499999999999996,46.15733961137708,35.0,21.0,40.8166632639171,0.03405877273185281,836.4125776194426,1,0,0,0,0,0,0,1
4,17,00:26:34.900000,47847,B,,殺球,,,B3,79,70,1,,,2,1,,B2,318.0,824.0,2.0,1000.0,255,1002,162,1029,312.0,1077.0,125.0,44.0,10.0,90.0,90.0,70.0,30.25,7.75,31.226991529764756,52.24999999999999,23.25,57.189378384451786,0.010682667062766724,96.84007434941384,0,0,0,1,1,0,0,0
4,18,00:26:35.400000,47862,A,,未擊球,,,B2,318,824,2,落地,殺球出其不意,2,2,B,,,,,32000.0,312,1077,125,44,376.0,971.0,371.0,936.0,50.0,10.0,80.0,80.0,11.25,194.75,195.07466519258722,46.99999999999999,34.5,58.303087396809445,0.02052366203008128,1049.789502709948,1,0,0,0,0,0,0,1
