set,rally,frame_num,time,hit_area,hit_x,hit_y,landing_area,landing_x,landing_y,lose_reason,getpoint_player,type,hitting
2,6,5195,00:02:53.33983333333333,A1,278,446,A2,254.0,800.0,出界,B,,B
2,7,5231,00:02:54.54103333333333,A2,254,800,A2,254.0,798.0,,,,B
2,7,5242,00:02:54.908066666666684,A2,254,798,A3,176.0,890.0,,,,A
2,7,5257,00:02:55.40856666666667,A3,176,890,A2,256.0,798.0,,,,B
2,7,5310,00:02:57.17699999999999,A2,256,798,A2,296.0,706.0,,,,A
2,7,5321,00:02:57.54403333333332,A2,296,706,B2,332.0,760.0,,,,B
2,7,5331,00:02:57.877700000000004,B2,332,760,A2,256.0,798.0,,,,A
2,7,5350,00:02:58.511666666666656,A2,256,798,A1,182.0,570.0,,,,B
2,7,5362,00:02:58.912066666666675,A1,182,570,A1,302.0,512.0,,,,A
2,7,5381,00:02:59.54603333333333,A1,302,512,A1,300.0,572.0,,,,B
2,7,5397,00:03:00.07989999999998076,A1,300,572,A2,302.0,638.0,,,,A
2,7,5409,00:03:00.48030000000002815,A2,302,638,A2,314.0,720.0,,,,B
2,7,5419,00:03:00.8139666666666869,A2,314,720,A2,306.0,820.0,,,,A
2,7,5439,00:03:01.4813000000000045,A2,306,820,A2,316.0,844.0,,,,B
2,7,5449,00:03:01.8149666666666633,A2,316,844,A3,290.0,868.0,,,,A
2,7,5459,00:03:02.148633333333322,A3,290,868,A2,308.0,792.0,,,,B
2,7,5471,00:03:02.5490333333333126,A2,308,792,A3,300.0,900.0,,,,A
2,7,5494,00:03:03.3164666666666847,A3,300,900,A1,316.0,586.0,出界,B,,B
2,8,5528,00:03:04.450933333333353,A1,316,586,A1,278.0,542.0,,,,B
2,8,5548,00:03:05.1182666666666705,A1,278,542,A2,146.0,644.0,,,,A
2,8,5589,00:03:06.486300000000028,A2,146,644,A1,216.0,554.0,,,,B
2,8,5603,00:03:06.953433333333351,A1,216,554,A2,132.0,708.0,,,,A
2,8,5662,00:03:08.922066666666694,A2,132,708,A1,134.0,608.0,,,,B
2,8,5672,00:03:09.255733333333325,A1,134,608,A1,234.0,526.0,,,,A
2,8,5686,00:03:09.722866666666675,A1,234,526,A2,256.0,798.0,出界,B,,B
2,9,5707,00:03:10.423566666666687,A2,256,798,A1,302.0,558.0,,,,B
2,9,5724,00:03:10.990800000000007,A1,302,558,A1,308.0,584.0,,,,A
2,9,5752,00:03:11.92506666666668,A1,308,584,A3,172.0,882.0,,,,B
2,9,5766,00:03:12.392200000000003,A3,172,882,A3,164.0,886.0,,,,A
2,9,5778,00:03:12.792599999999993,A3,164,886,A3,168.0,888.0,,,,B
2,9,5792,00:03:13.259733333333344,A3,168,888,A1,306.0,618.0,,,,A
2,9,5804,00:03:13.660133333333334,A1,306,618,A2,308.0,634.0,,,,B
2,9,5826,00:03:14.394200000000012,A2,308,634,A1,152.0,510.0,,,,A
2,9,5870,00:03:15.86233333333334,A1,152,510,A1,294.0,482.0,,,,B
2,9,5880,00:03:16.195999999999998,A1,294,482,A1,140.0,542.0,出界,B,,A
2,10,5922,00:03:17.597399999999993,A1,140,542,A4,300.0,468.0,,,,B
2,10,5960,00:03:18.865333333333353,A4,300,468,A1,302.0,478.0,,,,A
2,10,5970,00:03:19.199000000000012,A1,302,478,A1,304.0,478.0,,,,B
2,10,5981,00:03:19.566033333333337,A1,304,478,A1,298.0,454.0,,,,A
2,10,5995,00:03:20.03316666666666,A1,298,454,A2,144.0,776.0,,,,B
2,10,6045,00:03:21.70150000000001,A2,144,776,A1,138.0,534.0,,,,A
2,10,6068,00:03:22.468933333333354,A1,138,534,A1,292.0,480.0,,,,B
2,10,6079,00:03:22.83596666666668,A1,292,480,A2,296.0,840.0,出界,B,,A
2,11,6148,00:03:25.138266666666652,A2,296,840,A2,248.0,842.0,,,,B
2,11,6166,00:03:25.738866666666667,A2,248,842,A3,312.0,870.0,,,,A
2,11,6178,00:03:26.139266666666657,A3,312,870,A3,174.0,884.0,,,,B
2,11,6244,00:03:28.341466666666662,A3,174,884,A3,166.0,884.0,出界,B,,A
2,12,6263,00:03:28.975433333333342,A3,166,884,A3,168.0,884.0,,,,B
