hit_direct,hit_distance,hit_height,landing_direct,landing_distance,landing_height,x_direct,x_distance,y_direct,y_distance,velocity,type
3,2,2,2,1,2,2,4,2,3,19.563,netplay
3,1,2,3,3,1,2,2,2,3,24.842,lob
2,3,1,2,3,0,2,2,2,4,66.201,smash
2,2,2,3,1,2,3,2,2,2,21.181,netplay
2,1,2,3,4,1,3,2,2,2,26.786,lob
2,4,1,2,2,2,3,3,3,3,66.863,smash
3,2,2,2,1,2,3,5,3,3,19.567,netplay
3,1,2,3,1,2,2,2,2,3,10.864,netplay
2,1,2,3,4,1,2,2,2,2,19.929,lob
2,4,1,2,2,2,3,4,3,3,32.927,cut
3,2,2,2,3,2,3,2,3,2,29.682,lob
3,3,2,2,2,1,2,3,2,3,61.572,drive
3,2,1,2,2,1,3,3,3,3,42.971,drive
3,2,1,3,3,1,2,2,2,3,36.134,long
2,3,1,2,2,2,2,2,2,3,37.152,cut
3,2,2,2,1,2,2,2,2,3,20.225,netplay
3,1,2,3,4,1,2,2,3,2,18,lob
2,4,1,3,5,0,3,4,3,3,6.152,long
3,2,2,3,4,1,3,2,2,2,15.198,long
2,4,1,2,2,2,3,4,3,3,85.381,smash
3,2,2,2,1,2,3,3,3,3,21.799,netplay
3,1,2,3,1,2,2,2,2,3,9.808,netplay
2,1,2,2,1,2,2,2,2,2,8.808,netplay
3,1,2,2,1,2,2,1,2,2,15.515,netplay
3,1,2,3,1,2,3,2,3,2,4.526,netplay
2,1,2,2,4,1,3,1,3,2,11.178,lob
3,4,1,3,3,2,3,4,2,5,64.707,smash
2,3,2,2,3,1,3,3,2,5,30.429,lob
3,3,1,2,2,2,3,2,3,3,44.565,cut
3,2,2,3,1,2,2,2,2,3,16.294,netplay
2,1,2,3,5,0,2,2,2,2,17.726,lob
3,2,2,2,4,1,2,2,3,2,15.871,long
3,4,1,3,2,2,2,4,2,3,86.639,smash
2,2,2,3,2,2,2,3,3,3,33.82,netplay
2,2,2,2,1,2,3,2,3,3,19.444,netplay
3,1,2,3,1,2,3,2,3,2,9.789,netplay
2,1,2,3,3,1,3,1,3,2,22.025,lob
2,3,1,3,2,2,2,2,2,5,45.627,cut
2,2,2,3,3,1,3,2,2,3,24.608,lob
2,3,1,2,4,1,2,2,2,4,32.484,long
3,4,1,3,2,2,2,5,2,3,37.4,smash
2,2,2,3,1,2,3,2,2,2,24.437,netplay
2,1,2,2,1,2,3,2,2,2,15.483,netplay
3,1,2,3,1,2,2,2,2,3,8.728,netplay
2,1,2,3,4,1,2,1,2,1,18.202,lob
2,4,1,3,1,2,3,3,3,3,30.316,cut
2,1,2,3,1,2,2,3,2,2,14.129,netplay
