frame,top_x,top_y,bot_x,bot_y
8428,208,145,311,912
8429,204,145,311,907
8430,207,151,311,912
8431,208,145,310,907
8432,207,151,311,912
8433,206,151,311,903
8434,207,151,311,907
8435,208,145,309,907
8436,206,145,308,907
8437,207,151,309,907
8438,209,158,309,907
8439,207,145,312,936
8440,208,151,312,940
8441,207,158,306,907
8442,207,138,306,907
8443,207,151,306,907
8444,207,151,306,903
8445,207,145,306,903
8446,207,158,315,907
8447,207,138,308,903
8448,204,145,308,907
8449,206,145,308,907
8450,206,145,308,907
8451,207,151,308,907
8452,207,145,308,903
8453,206,145,309,903
8454,209,158,308,899
8455,206,164,307,903
8456,195,77,307,903
8457,206,158,307,903
8458,207,151,307,928
8459,208,118,308,928
8460,206,118,307,928
8461,204,184,308,903
8462,208,145,308,907
8463,204,164,315,907
8464,206,138,314,903
8465,203,145,307,903
8466,204,145,306,903
8467,202,145,307,907
8468,207,158,314,903
8469,198,125,311,907
8470,206,145,307,907
8471,205,158,308,903
8472,198,138,308,903
8473,206,145,308,903
8474,207,151,307,903
8475,210,151,310,903
8476,203,151,310,907
8477,206,158,308,907
8478,204,184,308,903
8479,209,138,308,903
8480,207,145,308,903
8481,207,145,309,903
8482,206,111,309,907
8483,205,111,309,907
8484,211,151,309,903
8485,202,158,309,907
8486,205,131,309,907
8487,207,164,309,907
8488,205,111,308,907
8489,208,178,308,903
8490,206,151,308,899
8491,205,118,308,899
8492,197,111,307,899
8493,204,158,308,899
8494,208,151,308,903
8495,208,151,308,903
8496,204,158,307,899
8497,204,145,307,903
8498,204,164,307,903
8499,203,197,307,899
8500,202,171,308,903
8501,200,151,308,903
8502,201,164,310,899
8503,203,151,307,903
8504,201,138,310,903
8505,202,184,310,899
8506,202,151,307,899
8507,202,151,307,899
8508,204,158,306,903
8509,209,164,313,895
8510,206,151,312,920
8511,202,131,313,920
8512,206,145,313,920
8513,203,145,304,920
8514,205,164,305,895
8515,204,145,306,895
8516,205,171,307,895
8517,207,138,308,920
8518,199,178,308,895
